nombre,pos,rank_pos,proj,baseline,vbd,espn_id,equipo
Brandon Jones,S,28,92.0,99.3,-7.3,4039059,7
Daiyan Henley,LB,27,113.3,120.7,-7.4,4241597,24
Harold Landry III,DE,29,61.1,68.7,-7.6,3122793,17
David Onyemata,DT,39,43.1,50.7,-7.6,4002046,20
D.J. Jones,DT,40,43.1,50.7,-7.6,3894915,7
George Karlaftis,DE,30,61.0,68.7,-7.7,4426659,12
Laiatu Latu,DE,31,60.9,68.7,-7.8,4426473,11
Gervon Dexter Sr.,DT,41,42.8,50.7,-7.9,4429014,3
Wil Lutz,K,20,155.0,163.1,-8.1,2985659,7
Commanders D/ST,DST,23,128.1,136.3,-8.2,-16028,28
Sonny Styles,LB,28,112.5,120.7,-8.2,5081807,28
Derrick Harmon,DT,42,42.4,50.7,-8.3,4682980,23
Renardo Green,CB,26,81.8,90.2,-8.4,4427325,25
DaVon Hamilton,DT,43,42.2,50.7,-8.5,3915520,30
Bradley Chubb,DE,32,60.1,68.7,-8.6,3116733,2
Maliek Collins,DT,44,42.0,50.7,-8.7,3040471,5
Sauce Gardner,CB,27,81.2,90.2,-9.0,4427250,11
Caleb Downs,S,29,90.2,99.3,-9.1,4870706,6
Justin Reid,S,30,90.2,99.3,-9.1,3931399,18
Vita Vea,DT,45,41.6,50.7,-9.1,3134362,27
Thomas Booker IV,DT,46,41.5,50.7,-9.2,4360749,13
Tyler Bass,K,21,153.7,163.1,-9.4,3917232,2
Dadrion Taylor-Demerson,S,31,89.9,99.3,-9.4,4428633,22
Caleb Banks,DT,47,41.3,50.7,-9.4,4602019,16
Edgerrin Cooper,LB,29,111.2,120.7,-9.5,4430438,9
Bryan Cook,S,32,89.8,99.3,-9.5,4247726,4
Wan'Dale Robinson,WR,42,185.2,194.8,-9.6,4569587,10
Titans D/ST,DST,24,126.6,136.3,-9.7,-16010,10
Donovan Ezeiruaku,DE,33,59.0,68.7,-9.7,4683848,6
Abdul Carter,DE,34,58.9,68.7,-9.8,4725996,19
Julian Love,S,33,89.5,99.3,-9.8,4046675,26
Marcus Jones,CB,28,80.4,90.2,-9.8,4241720,17
Arik Armstead,DT,48,40.9,50.7,-9.8,2971275,30
Travis Hunter,WR,43,184.8,194.8,-10.0,4685415,30
Jake Elliott,K,22,153.1,163.1,-10.0,3050478,21
Chop Robinson,DE,35,58.7,68.7,-10.0,4431586,15
Boye Mafe,DE,36,58.7,68.7,-10.0,4240754,4
Craig Woodson,S,34,89.3,99.3,-10.0,4428930,17
Rasul Douglas,CB,29,80.2,90.2,-10.0,3943270,28
Levi Drake Rodriguez,DT,49,40.6,50.7,-10.1,5093973,16
Davon Godchaux,DT,50,40.6,50.7,-10.1,3115383,18
Austin Booker,DE,37,58.5,68.7,-10.2,4683553,3
Jamel Dean,CB,30,80.0,90.2,-10.2,3873935,23
Kyler Gordon,CB,31,79.9,90.2,-10.3,4361093,3
Taron Johnson,CB,32,79.8,90.2,-10.4,3121003,13
Charles Omenihu,DT,51,40.3,50.7,-10.4,3929865,28
Mansoor Delane,CB,33,79.6,90.2,-10.6,4880124,12
Josh Downs,WR,44,184.1,194.8,-10.7,4688813,11
Makai Lemon,WR,45,183.9,194.8,-10.9,4870795,21
Grover Stewart,DT,52,39.7,50.7,-11.0,4058825,11
Roy Lopez,DT,53,39.6,50.7,-11.1,4040805,22
Tyrique Stevenson,CB,34,78.8,90.2,-11.4,4426374,3
Giants D/ST,DST,25,124.8,136.3,-11.5,-16019,19
Alim McNeill,DT,54,39.2,50.7,-11.5,4361662,8
Xavier Worthy,WR,46,183.2,194.8,-11.6,4683062,12
Jaelan Phillips,DE,38,57.1,68.7,-11.6,4242975,29
Jaylen Watson,CB,35,78.4,90.2,-11.8,4697639,14
Tershawn Wharton,DT,55,38.9,50.7,-11.8,4058925,29
Benjamin Morrison,CB,36,78.3,90.2,-11.9,4816107,27
Chuba Hubbard,RB,32,198.5,210.5,-12.0,4241416,29
Jason Sanders,K,23,151.1,163.1,-12.0,3124679,20
Lukas Van Ness,DE,39,56.7,68.7,-12.0,4686906,9
Quinyon Mitchell,CB,37,78.2,90.2,-12.0,4686273,21
Poona Ford,DT,56,38.7,50.7,-12.0,3125114,14
Bobby Brown III,DT,57,38.7,50.7,-12.0,4372518,29
Joey Porter Jr.,CB,38,78.1,90.2,-12.1,4426506,23
Byron Murphy Jr.,CB,39,78.1,90.2,-12.1,4038999,16
Jamaree Caldwell,DT,58,38.6,50.7,-12.1,5089178,24
Kevin Byard,S,35,87.1,99.3,-12.2,2574056,17
Blake Grupe,K,24,150.8,163.1,-12.3,4259619,11
Deone Walker,DT,59,38.3,50.7,-12.4,4831989,2
Jonathon Cooper,DE,40,56.2,68.7,-12.5,4040608,7
Will Johnson,CB,40,77.7,90.2,-12.5,4685408,22
Kenny Clark,DT,60,38.0,50.7,-12.7,3122752,6
Zane Gonzalez,K,25,150.3,163.1,-12.8,3043234,15
Alex Wright,DE,41,55.9,68.7,-12.8,4570119,5
Grant Delpit,S,36,86.5,99.3,-12.8,4242208,5
Ji'Ayir Brown,S,37,86.5,99.3,-12.8,4693644,25
Dru Phillips,CB,41,77.4,90.2,-12.8,4431321,19
Calijah Kancey,DT,61,37.9,50.7,-12.8,4427673,27
Cowboys D/ST,DST,26,123.4,136.3,-12.9,-16006,6
Myles Murphy,DE,42,55.7,68.7,-13.0,4428985,4
Deebo Samuel Sr.,WR,47,181.6,194.8,-13.2,3126486,25
Patrick Queen,LB,30,107.5,120.7,-13.2,4242207,23
Eric Murray,S,38,86.1,99.3,-13.2,2970716,30
Christen Miller,DT,62,37.4,50.7,-13.3,4685479,18
Micah Parsons,DE,43,55.3,68.7,-13.4,4361423,9
Jordan Addison,WR,48,181.1,194.8,-13.7,4429205,16
James Pearce Jr.,DE,44,54.9,68.7,-13.8,5081394,1
Tarheeb Still,CB,42,76.4,90.2,-13.8,4432571,24
Moro Ojomo,DT,63,36.9,50.7,-13.8,4362116,21
Khalil Shakir,WR,49,180.9,194.8,-13.9,4373678,2
Juwan Johnson,TE,19,150.5,164.4,-13.9,3929645,18
Kaden Elliss,LB,31,106.7,120.7,-14.0,3124890,18
Cam Bynum,S,39,85.3,99.3,-14.0,4035861,11
Jermaine Johnson II,DE,45,54.6,68.7,-14.1,4567962,10
Dexter Lawrence II,DT,64,36.6,50.7,-14.1,4035483,4
LaCale London,DT,65,36.6,50.7,-14.1,4376288,1
Brandon Dorlus,DT,66,36.3,50.7,-14.4,4427090,1
Justin Eboigbe,DT,67,36.3,50.7,-14.4,4567138,24
Josh Jobe,CB,43,75.7,90.2,-14.5,4372020,26
C.J. West,DT,68,36.2,50.7,-14.5,4686308,25
Arvell Reese,LB,32,106.1,120.7,-14.6,4950400,19
Jayden Reed,WR,50,180.1,194.8,-14.7,4362249,9
Divine Deablo,LB,33,106.0,120.7,-14.7,4037626,1
Pat Surtain II,CB,44,75.5,90.2,-14.7,4372012,7
Dante Trader Jr.,S,40,84.5,99.3,-14.8,4431664,15
Christian Barmore,DT,69,35.7,50.7,-15.0,4372030,17
Brenton Strange,TE,20,149.3,164.4,-15.1,4430539,30
